precio_venta,area,habitaciones,banos,administracion,parqueaderos,sector,estrato,antiguedad,latitud,longitud,estado,alarma,ascensor,conjunto_cerrado,gimnasio,piscina,zona_de_bbq,area_terraza,numero_piso,numero_closets
339000000.0,76.0,3.0,2.0,300000.0,1.0,BRITALIA,3.0,ENTRE 10 Y 20 ANOS,4.746591885665612,-74.05757099810216,,0,0,1,0,0,0,,,
223000000.0,63.0,3.0,2.0,,0.0,SAN CRISTOBAL NORTE,3.0,MAS DE 20 ANOS,4.730110594776447,-74.02816994396177,,0,0,0,0,0,0,,,
440898168.0,54.0,3.0,2.0,305000.0,0.0,LA SABANA,3.0,ENTRE 0 Y 5 ANOS,4.607378381953671,-74.08264843007679,,0,0,1,0,0,0,,,
158000000.0,43.0,2.0,2.0,106600.0,0.0,TIBABUYES,2.0,ENTRE 10 Y 20 ANOS,4.740108919910245,-74.11367534607827,,0,0,1,0,0,0,,,
222800000.0,48.0,3.0,2.0,151000.0,0.0,VERBENAL,3.0,MAS DE 20 ANOS,4.763900015859,-74.02527996992,,0,0,1,0,0,0,,,
128900000.0,47.0,2.0,1.0,86500.0,0.0,TINTAL SUR,2.0,ENTRE 10 Y 20 ANOS,4.632697639848516,-74.19811074612754,,0,0,1,0,0,0,,,
190000000.0,38.0,2.0,1.0,178600.0,0.0,SUBA,3.0,ENTRE 5 Y 10 ANOS,4.753457674995014,-74.09328837339247,,0,0,1,0,0,1,,,
149000000.0,37.0,2.0,1.0,160000.0,0.0,SUBA,3.0,ENTRE 10 Y 20 ANOS,4.7595866,-74.1009706,,0,0,1,0,0,0,,,
335000000.0,51.0,1.0,2.0,,1.0,CHAPINERO,4.0,ENTRE 5 Y 10 ANOS,4.6032472803751965,-74.11873464028827,,0,0,1,1,0,1,,,
480000000.0,70.0,3.0,2.0,,1.0,QUINTA PAREDES,4.0,ENTRE 0 Y 5 ANOS,4.634183718519668,-74.09213745135507,,0,0,0,0,0,1,,,
291750503.0,73.0,3.0,2.0,50000.0,1.0,VERBENAL,3.0,ENTRE 10 Y 20 ANOS,4.758119905496352,-74.03397656905331,,0,0,1,0,0,0,,,
381000000.0,47.0,2.0,1.0,438000.0,1.0,CHICO LAGO,5.0,MAS DE 20 ANOS,4.6825270652771,-74.0496826171875,,0,0,0,0,0,0,,,
269000000.0,61.0,3.0,2.0,184000.0,0.0,CALANDAIMA,3.0,ENTRE 0 Y 5 ANOS,4.655312652645029,-74.15489256809185,,0,0,1,0,0,0,,,
423300000.0,86.0,3.0,2.0,666700.0,2.0,LOS CEDROS,5.0,MAS DE 20 ANOS,4.720417591164206,-74.04405833146835,,0,0,0,0,0,0,,,
486000000.0,96.0,3.0,2.0,400000.0,1.0,LOS CEDROS,4.0,MAS DE 20 ANOS,4.732393703947215,-74.03813135844456,,0,0,1,1,0,0,,,
180000000.0,50.0,2.0,1.0,84600.0,0.0,EL RINCON,3.0,MAS DE 20 ANOS,4.728229319908014,-74.08785865480158,,0,0,1,0,0,0,,,
130000000.0,47.0,3.0,1.0,78300.0,0.0,CALANDAIMA,2.0,ENTRE 10 Y 20 ANOS,4.651838225708955,-74.16917740570511,,0,0,1,0,0,0,,,
353758000.0,50.0,3.0,2.0,220000.0,1.0,SAGRADO CORAZON,4.0,ENTRE 10 Y 20 ANOS,4.621004698260896,-74.06859394516988,,0,0,1,0,0,0,,,
321200000.0,68.0,3.0,2.0,175000.0,1.0,CASTILLA,4.0,ENTRE 5 Y 10 ANOS,4.649286599748474,-74.14457170453458,,0,0,1,1,0,1,,,
305000000.0,64.0,3.0,2.0,138000.0,1.0,BOYACA REAL,3.0,ENTRE 5 Y 10 ANOS,4.6860307,-74.09681739999999,,0,0,1,0,0,1,,,
139000000.0,47.0,3.0,1.0,78300.0,0.0,CALANDAIMA,2.0,ENTRE 10 Y 20 ANOS,4.651838225708955,-74.16917740570511,,0,0,1,0,0,0,,,
95000000.0,38.0,2.0,1.0,40000.0,0.0,CIUDAD USME,2.0,ENTRE 5 Y 10 ANOS,4.473558941907808,-74.12881830694222,,0,0,0,0,0,0,,,
