precio_venta,area,habitaciones,banos,administracion,parqueaderos,sector,estrato,antiguedad,latitud,longitud,estado,alarma,ascensor,conjunto_cerrado,gimnasio,piscina,zona_de_bbq,education_100,healthcare_100,retail_access_100,dining_and_entertainment_100,accommodation_100,parks_and_recreation_100,infrastructure_services_100,cultural_amenities_100,education_300,healthcare_300,retail_access_300,dining_and_entertainment_300,accommodation_300,parks_and_recreation_300,infrastructure_services_300,cultural_amenities_300,education_500,healthcare_500,retail_access_500,dining_and_entertainment_500,accommodation_500,parks_and_recreation_500,infrastructure_services_500,cultural_amenities_500,education_1000,healthcare_1000,retail_access_1000,dining_and_entertainment_1000,accommodation_1000,parks_and_recreation_1000,infrastructure_services_1000,cultural_amenities_1000,education_2000,healthcare_2000,retail_access_2000,dining_and_entertainment_2000,accommodation_2000,parks_and_recreation_2000,infrastructure_services_2000,cultural_amenities_2000,catastral,comercial,upz_calculada,barrio_calculado,localidad_calculada
551400000.0,116.0,3.0,2.0,486800.0,2.0,ORQUIDEAS,3.0,ENTRE 10 Y 20 ANOS,4.551,-74.138,USADO,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,19,22,1,2,9,0,1,24,63,66,5,8,20,0,9,72,270,334,25,33,89,1,71,234,826,822,60,64,257,19,4476370.285714285,5802564.0,CHICO LAGO,ANTIGUO COUNTRY,CHAPINERO
1350000000.0,176.0,2.0,3.0,1780000.0,2.0,CHICO,6.0,MAS DE 20 ANOS,4.671,-74.056,USADO,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,7,6,3,0,0,2,0,6,29,27,20,2,2,8,0,11,91,140,117,14,8,58,0,27,206,548,472,40,42,205,6,3129265.8333333335,3962982.1666666665,SANTA BARBARA,SANTA BIBIANA,USAQUEN
500000000.0,88.0,4.0,2.0,457000.0,2.0,SANTA BARBARA,6.0,MAS DE 20 ANOS,4.699308,-74.03682,USADO,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,12,5,0,0,0,4,8,16,54,10,1,7,0,24,86,362,383,34,6,72,2,102,246,1017,1321,97,33,276,15,2349108.6,3003933.6,PARDO RUBIO,PARDO RUBIO,CHAPINERO
890000000.0,154.0,3.0,3.0,981000.0,2.0,CHICO,6.0,MAS DE 20 ANOS,4.6824393,-74.052055,USADO,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,1,1,0,1,5,15,43,6,4,6,0,13,19,63,230,23,10,51,7,74,162,762,914,75,29,192,20,3936536.5714285714,4842862.857142857,EL REFUGIO,BELLAVISTA NORTE,CHAPINERO
534760000.0,109.0,3.0,3.0,649900.0,1.0,COLINA Y ALREDEDORES,5.0,MAS DE 20 ANOS,4.7241106,-74.06417,USADO,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,9,1,3,6,29,33,0,3,13,1,14,27,151,123,4,9,29,1,55,109,464,283,4,31,95,3,1286698.25,1970829.0,AMERICAS,HIPOTECHO OCCIDENTAL,KENNEDY
1050000000.0,187.0,3.0,4.0,1350000.0,3.0,CHICO,6.0,ENTRE 10 Y 20 ANOS,4.6755314,-74.04513,USADO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,40,28,0,2,8,0,0,8,65,49,3,4,26,0,5,51,188,127,9,10,50,0,33,158,366,340,30,58,135,2,2756838.5714285714,3493597.8571428573,SANTA BARBARA,SANTA BARBARA OCCIDENTAL,USAQUEN
1490000000.0,240.3,3.0,4.0,1800000.0,3.0,CEDRITOS,6.0,MAS DE 20 ANOS,4.695,-74.031,USADO,0,1,1,0,0,0,0,0,4,1,0,0,0,1,0,2,14,11,0,0,1,1,3,10,29,21,1,3,3,2,13,31,161,83,1,7,22,6,83,99,619,546,82,28,127,53,1361430.5714285714,1770823.4285714286,SANTA ISABEL,EDUARDO SANTOS,LOS MARTIRES
2200000000.0,268.51,4.0,4.0,1700000.0,2.0,COUNTRY,5.0,MAS DE 20 ANOS,4.7071867,-74.03594,USADO,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,10,3,0,0,1,0,0,2,19,6,0,2,1,0,9,28,117,62,0,7,22,0,46,101,489,231,2,39,89,3,1593020.5,2220450.0,CIUDAD MONTES,TIBANA,PUENTE ARANDA
381000000.0,86.0,3.0,2.0,310900.0,1.0,VERBENAL,3.0,ENTRE 10 Y 20 ANOS,4.768161723265092,-74.0328225949844,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,3,0,2,2,12,23,4,8,15,3,6,36,132,240,21,21,74,9,39,157,411,549,52,55,195,19,4326191.6,5550517.6,EL REFUGIO,EL CHICO,CHAPINERO
572933354.0,96.0,3.0,3.0,783000.0,0.0,SANTA BARBARA,5.0,MAS DE 20 ANOS,4.70041,-74.05074,USADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,2,0,0,0,1,0,5,1,9,2,0,1,3,0,33,16,98,21,1,43,18,3,78114.25,91887.75,TINTAL SUR,SAN BERNARDINO XXII,BOSA
