precio_venta,area,habitaciones,banos,administracion,parqueaderos,sector,estrato,antiguedad,latitud,longitud,estado,alarma,ascensor,conjunto_cerrado,gimnasio,piscina,zona_de_bbq,area_terraza,numero_piso,numero_closets,administracion_imputada,estrato_imputado
551400000.0,116.0,3.0,2.0,486800.0,2.0,ORQUIDEAS,3.0,ENTRE 10 Y 20 ANOS,4.551,-74.138,USADO,0,1,1,0,0,0,,,1.0,0,0
1350000000.0,176.0,2.0,3.0,1780000.0,2.0,CHICO,6.0,MAS DE 20 ANOS,4.671,-74.056,USADO,0,1,0,0,0,1,,,,0,0
500000000.0,88.0,4.0,2.0,457000.0,2.0,SANTA BARBARA,6.0,MAS DE 20 ANOS,4.699308,-74.03682,USADO,0,1,1,0,0,0,,5.0,,0,0
890000000.0,154.0,3.0,3.0,981000.0,2.0,CHICO,6.0,MAS DE 20 ANOS,4.6824393,-74.052055,USADO,1,0,1,0,0,0,5.0,3.0,,0,0
534760000.0,109.0,3.0,3.0,649900.0,1.0,COLINA Y ALREDEDORES,5.0,MAS DE 20 ANOS,4.7241105999999995,-74.06417,USADO,0,1,1,0,0,0,,5.0,,0,0
1050000000.0,187.0,3.0,4.0,1350000.0,3.0,CHICO,6.0,ENTRE 10 Y 20 ANOS,4.6755314,-74.04513,USADO,0,0,0,0,0,0,,1.0,4.0,0,0
1490000000.0,240.3,3.0,4.0,1800000.0,3.0,CEDRITOS,6.0,MAS DE 20 ANOS,4.695,-74.031,USADO,0,1,1,0,0,0,1.0,1.0,1.0,0,0
2200000000.0,268.51,4.0,4.0,1700000.0,2.0,COUNTRY,5.0,MAS DE 20 ANOS,4.7071867,-74.03594,USADO,0,1,0,0,0,1,,,,0,0
381000000.0,86.0,3.0,2.0,310900.0,1.0,VERBENAL,3.0,ENTRE 10 Y 20 ANOS,4.768161723265092,-74.0328225949844,,0,0,1,0,0,0,,,,0,0
572933354.0,96.0,3.0,3.0,783000.0,0.0,SANTA BARBARA,5.0,MAS DE 20 ANOS,4.70041,-74.05074,USADO,0,0,0,0,0,0,,,,0,0
260000000.0,73.0,2.0,2.0,1381182.0656455143,0.0,FONTIBON TINTAL,3.0,ENTRE 0 Y 5 ANOS,4.668,-74.143,USADO,0,0,0,0,0,0,,,1.0,1,0
1200000000.0,167.0,3.0,4.0,1031700.0,4.0,ALTOS DE SUBA Y CERROS DE SAN JORGE,6.0,ENTRE 0 Y 5 ANOS,4.742791,-74.0759,USADO,0,0,0,1,0,1,,2.0,,0,0
750000000.0,110.0,3.0,2.0,9977514.788676761,2.0,SANTA BARBARA,5.0,ENTRE 0 Y 5 ANOS,4.690335,-74.04014,USADO,0,0,0,0,0,0,,,,1,0
530000000.0,79.0,3.0,2.0,350000.0,2.0,NIZA ALHAMBRA,4.0,ENTRE 10 Y 20 ANOS,4.693,-74.084,USADO,0,1,1,1,0,1,,1.0,,0,0
