precio_venta,area,habitaciones,banos,administracion,parqueaderos,sector,estrato,antiguedad,latitud,longitud,estado,alarma,ascensor,conjunto_cerrado,gimnasio,piscina,zona_de_bbq,area_terraza,numero_piso,numero_closets
200000000.0,50.0,3.0,2.0,100000.0,0.0,CIUDAD BOLIVAR,3.0,ENTRE 5 Y 10 ANOS,4.58528,-74.159,USADO,0,0,1,0,0,0,,,
900000000.0,170.0,4.0,5.0,800000.0,2.0,SANTA BARBARA,6.0,MAS DE 20 ANOS,4.692,-74.049,USADO,0,1,0,0,0,0,,,1.0
314000000.0,71.0,2.0,2.0,390000.0,1.0,LOS CEDROS,4.0,MAS DE 20 ANOS,4.7186266866849245,-74.03422713130936,,0,0,1,0,0,0,,,
960000000.0,154.0,3.0,4.0,550000.0,2.0,COLINA Y ALREDEDORES,5.0,ENTRE 0 Y 5 ANOS,4.7425876,-74.054825,USADO,0,0,0,0,0,0,,3.0,
670000000.0,104.0,3.0,2.0,810000.0,2.0,COUNTRY,5.0,ENTRE 10 Y 20 ANOS,4.7169695,-74.03716,USADO,0,1,0,0,1,0,,2.0,
240000000.0,47.0,2.0,1.0,110000.0,0.0,ALTOS DE SUBA Y CERROS DE SAN JORGE,3.0,ENTRE 0 Y 5 ANOS,4.73454,-74.0914,USADO,0,1,1,0,0,0,,,
420000000.0,98.0,3.0,2.0,150000.0,1.0,CHAPINERO,4.0,MAS DE 20 ANOS,4.64526,-74.07542,USADO,0,0,0,0,0,0,,,
170000000.0,47.55,2.0,1.0,152000.0,0.0,FONTIBON TINTAL,3.0,MAS DE 20 ANOS,4.6853256,-74.155075,USADO,0,0,0,0,0,0,,2.0,
750000000.0,98.0,3.0,2.0,540000.0,1.0,,4.0,MAS DE 20 ANOS,,,USADO,0,0,1,0,0,0,,0.0,
1720000000.0,255.0,3.0,4.0,1135000.0,3.0,CHICO,6.0,ENTRE 10 Y 20 ANOS,4.652,-74.05,USADO,0,1,0,0,0,0,,,
2200000000.0,274.0,3.0,5.0,1700000.0,3.0,CHICO,6.0,ENTRE 5 Y 10 ANOS,4.677155,-74.04643,USADO,0,1,0,1,0,1,70.0,2.0,3.0
1250000000.0,124.0,2.0,3.0,1200000.0,2.0,CHICO,6.0,ENTRE 0 Y 5 ANOS,4.672,-74.057,USADO,0,1,0,1,0,1,,,1.0
510000000.0,45.0,1.0,1.0,550000.0,1.0,CHICO,6.0,ENTRE 0 Y 5 ANOS,4.679199,-74.0464,USADO,0,1,0,0,0,0,,3.0,
350000000.0,72.0,3.0,2.0,345000.0,1.0,ORQUIDEAS,4.0,REMODELADO,4.7589083,-74.04313,USADO,0,1,1,0,0,1,5.0,3.0,3.0
550000000.0,110.0,3.0,3.0,499000.0,2.0,CEDRITOS,4.0,ENTRE 10 Y 20 ANOS,4.7233934,-74.03539,USADO,0,1,0,1,0,0,,3.0,
1650000000.0,215.0,4.0,4.0,1700000.0,3.0,CHICO,6.0,MAS DE 20 ANOS,4.653628,-74.049675,USADO,0,0,0,0,0,0,,,
3000000000.0,250.0,3.0,4.0,1952000.0,4.0,CHICO,6.0,ENTRE 0 Y 5 ANOS,4.67552,-74.05781,USADO,0,0,0,0,0,0,,,
285000000.0,67.0,2.0,2.0,170000.0,1.0,170 Y ALREDORES,4.0,MAS DE 20 ANOS,4.7682357,-74.04677,USADO,0,0,0,0,0,1,,,
1380000000.0,208.0,3.0,3.0,1400000.0,3.0,CHICO,6.0,REMODELADO,4.6535487,-74.05142,USADO,0,1,0,1,0,0,,7.0,4.0
506000000.0,61.0,1.0,2.0,529000.0,1.0,NIZA ALHAMBRA,5.0,ENTRE 0 Y 5 ANOS,4.68738,-74.06098,USADO,0,1,1,1,0,1,,10.0,1.0
1450000007.0,197.0,4.0,4.0,1250000.0,2.0,SANTA BARBARA,6.0,REMODELADO,4.6906295,-74.04104,USADO,0,0,1,0,0,0,,8.0,
148900000.0,46.0,3.0,1.0,60000.0,0.0,CALANDAIMA,2.0,ENTRE 10 Y 20 ANOS,4.650031179588523,-74.16767435617659,,0,0,1,0,0,0,,,
1799000000.0,259.23,3.0,4.0,1200000.0,3.0,SANTA BARBARA,6.0,ENTRE 10 Y 20 ANOS,4.692365,-74.052414,USADO,0,1,0,1,0,0,5.0,3.0,
629000000.0,66.33,2.0,2.0,520000.0,1.0,SANTA BARBARA,5.0,ENTRE 0 Y 5 ANOS,4.688,-74.047,USADO,0,1,0,1,0,1,,,1.0
1180000000.0,165.0,3.0,4.0,1311000.0,2.0,CHICO,6.0,ENTRE 10 Y 20 ANOS,4.6637635,-74.050446,USADO,0,1,0,0,0,0,,2.0,4.0
1150000000.0,150.0,2.0,3.0,1600000.0,2.0,SANTA BARBARA,6.0,MAS DE 20 ANOS,4.69071,-74.05452,USADO,0,0,1,0,0,0,,2.0,
550000000.0,78.0,1.0,2.0,380000.0,2.0,SANTA BARBARA,6.0,ENTRE 10 Y 20 ANOS,4.691198,-74.053604,USADO,0,1,0,1,0,0,9.0,2.0,2.0
180000000.0,45.0,3.0,2.0,90000.0,0.0,KENNEDY,2.0,MAS DE 20 ANOS,4.649,-74.159,USADO,0,0,1,0,0,0,,,1.0
517000000.0,109.0,2.0,3.0,610000.0,2.0,,5.0,MAS DE 20 ANOS,4.69703,-74.06837,USADO,0,1,0,0,0,1,1.0,6.0,2.0
675000000.0,143.0,4.0,4.0,893000.0,2.0,SANTA BARBARA,6.0,MAS DE 20 ANOS,4.689,-74.041,USADO,0,1,0,0,0,0,,,1.0
122500000.0,42.0,2.0,1.0,111300.0,0.0,KENNEDY,2.0,ENTRE 10 Y 20 ANOS,4.651204,-74.16737,USADO,0,0,1,0,0,0,,4.0,1.0
740000000.0,136.91,3.0,4.0,1300000.0,2.0,SANTA BARBARA,6.0,MAS DE 20 ANOS,4.7010000000000005,-74.051,USADO,0,0,0,0,0,0,,,
295000000.0,54.0,3.0,2.0,230000.0,0.0,FONTIBON TINTAL,4.0,ENTRE 10 Y 20 ANOS,4.6567187,-74.13004,USADO,0,1,1,0,0,1,,7.0,
211500000.0,25.0,1.0,1.0,144000.0,0.0,LA SOLEDAD,3.0,ENTRE 0 Y 5 ANOS,4.6360745,-74.06819,USADO,0,1,0,1,0,1,,5.0,1.0
