Variable,Importancia
num__area,0.2479783
num__parqueaderos,0.095749214
num__administracion,0.08138286
cat__antiguedad_MAS DE 20 ANOS,0.07055213
cat__antiguedad_ENTRE 0 Y 5 ANOS,0.027321013
num__banos,0.026226675
cat__estado_NUEVO,0.020656016
num__gimnasio,0.020126116
cat__barrio_JOSE ANTONIO GALAN,0.017125797
num__ascensor,0.013910235
num__latitud,0.01367331
num__habitaciones,0.011686297
num__longitud,0.010673403
num__piscina,0.0070542614
cat__antiguedad_ENTRE 10 Y 20 ANOS,0.0055453484
cat__upz_BOSA CENTRAL,0.005097632
cat__antiguedad_PARA ESTRENAR,0.0044748024
num__zona_de_bbq,0.003991673
cat__antiguedad_ENTRE 5 Y 10 ANOS,0.0039530545
cat__barrio_CHAPINERO OCCIDENTAL,0.0039103017
cat__upz_COMUNEROS,0.0038751876
cat__upz_LOS ANDES,0.0036591294
cat__upz_LOS ALCAZARES,0.0035990137
cat__barrio_RINCON DEL CHICO,0.0034601912
cat__barrio_BATAN,0.0034068315
cat__barrio_ENGATIVA EL DORADO,0.0033772849
cat__barrio_TUNAL ORIENTAL,0.0032931522
cat__upz_LA SABANA,0.0032870849
cat__barrio_VEREDA SUBA CERROS,0.0029694089
cat__barrio_SAN JOSE DE USAQUEN,0.0029413449
cat__barrio_CHICO NORTE II SECTOR,0.0029322072
cat__barrio_SAN GABRIEL NORTE,0.0028039636
cat__barrio_BELLA SUIZA,0.00279694
cat__barrio_LOS CEDROS,0.0027842193
cat__barrio_MAZUREN,0.002767924
cat__barrio_PASADENA,0.0027056925
cat__upz_SANTA BARBARA,0.0026760772
num__accommodation_300,0.0026609723
cat__barrio_EL GACO,0.0023563383
cat__upz_BAVARIA,0.002340519
cat__barrio_LOS CEDROS ORIENTAL,0.0023040513
cat__barrio_SABANA DE TIBABUYES NORTE,0.0023013207
cat__barrio_CHICO NORTE,0.0022851303
cat__upz_SANTA CECILIA,0.0022275322
cat__barrio_CEDRO SALAZAR,0.0022087218
cat__barrio_CIUDADELA COLSUBSIDIO,0.0022038675
cat__upz_GRAN YOMASA,0.0021778343
cat__antiguedad_EN CONSTRUCCION,0.002152018
cat__barrio_LA CALLEJA,0.0021262816
cat__barrio_MOLINOS NORTE,0.0021217314
cat__upz_MODELIA,0.0020926644
cat__antiguedad_SOBRE PLANOS,0.0020374735
cat__barrio_SANTA BARBARA OCCIDENTAL,0.0020048886
cat__antiguedad_REMODELADO,0.001961593
cat__barrio_ALTOS DE SUBA,0.0019479594
num__infrastructure_services_2000,0.0019402065
