Variable,Importancia
num__parqueaderos,0.18577798
num__area,0.09627441
num__administracion,0.02542689
num__banos,0.025413105
cat__antiguedad_ENTRE 0 Y 5 ANOS,0.020258991
cat__antiguedad_MAS DE 20 ANOS,0.017857214
cat__barrio_JOSE ANTONIO GALAN,0.013785271
cat__upz_BOSA CENTRAL,0.012265647
cat__barrio_BARRANCAS,0.0118674245
cat__antiguedad_SOBRE PLANOS,0.0097449
cat__upz_SAN CRISTOBAL NORTE,0.00921037
cat__barrio_SABANA GRANDE,0.008454087
cat__estado_NUEVO,0.007867301
num__gimnasio,0.006830826
cat__estado_USADO,0.0066168383
num__latitud,0.0061009605
cat__barrio_SAN PABLO JERICO,0.0053519574
cat__barrio_BOITA,0.0052220225
cat__barrio_EL TINTAL CENTRAL,0.00510218
cat__barrio_LAS MARGARITAS SUR,0.0049982513
num__longitud,0.0048953774
cat__barrio_MIRANDELA,0.004775758
cat__barrio_SANTA INES,0.0045402995
cat__antiguedad_ENTRE 5 Y 10 ANOS,0.0044245766
cat__antiguedad_PARA ESTRENAR,0.004264439
num__piscina,0.0039535556
cat__barrio_RINCON DEL CHICO,0.0038660492
cat__upz_ZONA FRANCA,0.003773163
cat__barrio_CHAPINERO OCCIDENTAL,0.0037079272
cat__antiguedad_EN CONSTRUCCION,0.0037045528
num__ascensor,0.003630919
cat__barrio_LOS ANGELES,0.0035298828
cat__barrio_PINOS DE LOMBARDIA,0.0034350837
cat__barrio_TINTALA,0.0033738858
cat__barrio_CANTAGALLO,0.0029889091
num__habitaciones,0.002973498
cat__barrio_INTERINDUSTRIAL,0.0028028977
cat__barrio_BONANZA,0.0027364548
cat__upz_GRANJAS DE TECHO,0.0027344017
cat__barrio_HIPOTECHO OCCIDENTAL,0.0026968622
cat__antiguedad_ENTRE 10 Y 20 ANOS,0.0026342617
cat__barrio_VILLEMAR,0.0025322319
cat__barrio_LA CABANA SUR,0.002480573
cat__upz_LAS FERIAS,0.0024463863
cat__barrio_LOS LAURELES,0.0023985046
cat__barrio_TUNA ALTA,0.0023687477
cat__barrio_BATAN,0.002358062
cat__barrio_EL CHARCO I,0.002325083
cat__barrio_EL RETIRO,0.0022946089
cat__barrio_SAN LUIS,0.002269657
cat__upz_CIUDAD USME,0.0022595113
cat__barrio_SANTA BARBARA ORIENTAL,0.0022261725
cat__barrio_PASADENA,0.0021999425
cat__barrio_LAS ACACIAS ORIENTAL,0.0021835552
