Variable,Importancia_media,Desviacion
area,0.4730333708587692,0.001313015769157594
latitud,0.12054295650063349,0.0008589666926032514
longitud,0.09312077390165749,0.0005293888746786229
parqueaderos,0.09273016311161698,0.0006628765071102381
antiguedad,0.0841160914733242,0.0008563721321224824
banos,0.07267552100068878,0.0006506768956745415
administracion,0.06491275095372193,0.0006382093596960142
gimnasio,0.01186999792284299,0.00023847007909891528
barrio,0.011340008698443713,8.04296430961347e-05
upz,0.005826878007609913,5.831536967170471e-05
estado,0.002944547261163284,6.88375866820472e-05
