feature,importance
area,0.7889261852797147
latitud,0.05588413222863057
longitud,0.03104253758246884
antiguedad_ENTRE 0 Y 5 ANOS,0.029645960995483913
antiguedad_MAS DE 20 ANOS,0.020326399867963686
parqueaderos,0.01588358629818403
estrato,0.009785069724999205
sector_CHICO,0.008851096747675634
banos,0.005630560484053599
habitaciones,0.005398422180486824
antiguedad_ENTRE 5 Y 10 ANOS,0.0046580231535094056
piscina,0.004547478267646652
gimnasio,0.0044673008533528645
ascensor,0.0026397742367034833
zona_de_bbq,0.00213300333497784
conjunto_cerrado,0.0020257416825666154
antiguedad_ENTRE 10 Y 20 ANOS,0.001348050066127069
alarma,0.0011281319964715928
antiguedad_REMODELADO,0.0010112395803930703
sector_SANTA BARBARA,0.0009140123896498899
sector_COUNTRY,0.0006504197078891952
sector_CHAPINERO ALTO,0.0005338170852292052
sector_COLINA Y ALREDEDORES,0.000488093034428602
sector_NIZA ALHAMBRA,0.0002031410936365151
sector_CERROS DE SUBA,0.0002002946624618659
sector_CEDRITOS,0.0001900606575452937
sector_OTROS,0.00015410586180293094
estado_USADO,0.0001366618161516876
sector_SALITRE MODELIA,0.00013605926285171935
estado_NUEVO,0.00013025026153371677
sector_CORTIJO AUTOPISTA MEDELLIN,0.00011177176423488616
sector_FONTIBON TINTAL,9.095951365664411e-05
antiguedad_EN CONSTRUCCION,8.239644561067237e-05
sector_LA SOLEDAD,7.353634866760265e-05
sector_NICOLAS DE FEDERMAN,7.210960745146648e-05
sector_CENTRO INTERNACIONAL,6.569022361219924e-05
sector_ALTOS DE SUBA Y CERROS DE SAN JORGE,5.340910557633638e-05
sector_NORMANDIA,3.930856980664948e-05
sector_CENTRO Y ZONA COLONIAL,3.786629819267028e-05
sector_RAFAEL URIBE URIBE TUNJUELITO,3.7550407680340066e-05
sector_CASTILLA MARSELLA,3.44572429028906e-05
sector_ORQUIDEAS,3.2303455070789156e-05
antiguedad_SOBRE PLANOS,3.102890041881227e-05
sector_KENNEDY,2.3812627674396408e-05
sector_CENTRO NARINO,2.1657800388595712e-05
sector_ENGATIVA,2.1348299130719668e-05
sector_METROPOLIS,1.9667301402984846e-05
sector_CHAPINERO,1.606939519922219e-05
sector_CIUDAD BOLIVAR,1.2482469311687155e-05
sector_PUENTE ARANDA,1.06724477295931e-05
antiguedad_PARA ESTRENAR,1.0603595672563363e-05
sector_170 Y ALREDORES,8.04716867277944e-06
sector_TIMIZA LA ALQUERIA,5.71265118554449e-06
sector_GUAYMARAL,4.439881278951672e-06
sector_SANTA CECILIA,3.541551105556462e-06
sector_ANTONIO NARINO,1.7071545859760338e-06
sector_LA SABANA,1.523113561958783e-06
sector_TOBERIN,7.960280075038723e-07
sector_CASA BLANCA SUBA,5.236837834111245e-07
sector_LOS CEDROS,4.651887164362698e-07
sector_FONTIBON,4.605850608408447e-07
sector_GALERIAS,4.2188756979798185e-07
sector_CARVAJAL,4.196591550974328e-07
sector_CASTILLA,2.9871738888430204e-07
sector_SUBA,2.626921522726873e-07
