feature,importance_mean,importance_std
area,557054435.4823375,6649223.3861428
latitud,90273590.3591831,2597247.993975514
administracion,60501369.807478264,2548255.4725635345
antiguedad_ENTRE 0 Y 5 ANOS,58130539.34684248,5209222.450598238
banos,57518994.07843475,2289006.546236214
antiguedad_MAS DE 20 ANOS,41311629.70510034,2888252.239917966
longitud,30068520.004089165,2328727.913180307
parqueaderos,22124414.961581536,1413815.1582621254
estrato,10220141.74238554,1209595.9360500795
sector_CHICO,6869107.066974491,914815.7694002886
piscina,6340642.947617245,1394150.2603559156
gimnasio,4935595.186028871,926623.2562882393
habitaciones,4441235.213124981,571172.1877791298
antiguedad_ENTRE 5 Y 10 ANOS,4418798.960675269,938801.1252998558
sector_SANTA BARBARA,1035238.3878397613,219923.36992864974
ascensor,950097.7065812856,345716.62198111403
zona_de_bbq,763236.0510306299,121054.29381295413
sector_COUNTRY,681131.2275377244,90839.73379003553
antiguedad_REMODELADO,555896.5822335004,182840.09871005986
conjunto_cerrado,438513.1792602837,301356.7444582735
administracion_imputada,369764.5149942905,220462.70688266508
antiguedad_ENTRE 10 Y 20 ANOS,361879.55401033163,186584.4142697057
sector_CHAPINERO ALTO,277863.259383899,55308.23074483157
sector_CORTIJO AUTOPISTA MEDELLIN,98406.09437538982,30837.89861860681
sector_SALITRE MODELIA,94372.40933098792,18254.740687832204
estado_USADO,86038.26282550096,13302.252078575035
estado_NUEVO,77583.0906757027,9362.781958580183
sector_CEDRITOS,75685.97865177094,38601.79805004865
sector_COLINA Y ALREDEDORES,68136.56588039994,26844.338644527557
sector_NIZA ALHAMBRA,65869.24220717252,22045.49826830946
sector_OTROS,46135.65539593696,10614.045929551423
sector_ALTOS DE SUBA Y CERROS DE SAN JORGE,42434.40550908148,19421.634317961107
sector_FONTIBON TINTAL,42386.989987269044,25766.7553117832
sector_NORMANDIA,36891.59236237407,3758.3121078095514
antiguedad_SOBRE PLANOS,27334.219959568978,4239.172280447203
sector_CERROS DE SUBA,26989.4695854187,15943.986389734504
sector_CENTRO INTERNACIONAL,24212.667832180858,4101.4546890039055
antiguedad_EN CONSTRUCCION,15836.53810338676,3209.785371434901
sector_NICOLAS DE FEDERMAN,13739.98756428063,13015.658302834156
sector_RAFAEL URIBE URIBE TUNJUELITO,12646.382592993974,1507.8243550591187
sector_PUENTE ARANDA,8397.230029705166,1208.8219445848924
sector_ENGATIVA,8088.755717802048,1948.055981397025
sector_LA SOLEDAD,6087.619874489307,9145.788840716996
sector_ORQUIDEAS,4199.308299982547,8285.90859444199
sector_CIUDAD BOLIVAR,2855.4425543785096,5456.463759054985
sector_CENTRO NARINO,2812.439541602135,588.7865445365672
sector_CASTILLA MARSELLA,1446.794473144412,347.4761079143085
sector_CHAPINERO,1292.4551588505506,1014.731423962147
sector_TIMIZA LA ALQUERIA,1262.5944534212351,63.21138172101883
sector_CENTRO Y ZONA COLONIAL,881.7476906836033,9919.37903133425
sector_CIUDAD USME,81.78359970152378,6.732269126355678
sector_TIBABUYES,70.9821826517582,7.806806984143779
sector_MARRUECOS,64.36057531833649,0.0
sector_METROPOLIS,54.21394846141338,1969.3267764135242
sector_SUBA,36.25566446185112,3.1650332364822877
sector_ISMAEL PERDOMO,30.06806872487068,4.386614674329758
antiguedad_PARA ESTRENAR,30.065367206931114,106.73254694044589
sector_ZONA FRANCA,24.779202833771706,0.8193595532787692
sector_BOSA SOACHA,18.253476655483247,1.4902528254727
sector_EL PORVENIR,12.364577662944793,1.2341094187080193
sector_LOS CEDROS,11.603827521204948,9.312789511887262
sector_EL RINCON,9.541519233584404,0.020041260123252864
sector_BOSA OCCIDENTAL,9.206482163071632,1.6513188514400838
