estrato,area,habitaciones,banos,parqueaderos,antiguedad,tipo_propiedad,tipo_operacion,latitud,longitud,localidad,barrio,precio_venta,precio_arriendo,administracion,closets,gimnasio,ascensor,piscina,conjunto_cerrado,salon_comunal,terraza,vigilancia,100_education,100_healthcare,100_retail_access,100_dining_and_entertainment,100_accommodation,100_parks_and_recreation,100_infrastructure_services,100_cultural_amenities,300_education,300_healthcare,300_retail_access,300_dining_and_entertainment,300_accommodation,300_parks_and_recreation,300_infrastructure_services,300_cultural_amenities,500_education,500_healthcare,500_retail_access,500_dining_and_entertainment,500_accommodation,500_parks_and_recreation,500_infrastructure_services,500_cultural_amenities,1000_education,1000_healthcare,1000_retail_access,1000_dining_and_entertainment,1000_accommodation,1000_parks_and_recreation,1000_infrastructure_services,1000_cultural_amenities,2000_education,2000_healthcare,2000_retail_access,2000_dining_and_entertainment,2000_accommodation,2000_parks_and_recreation,2000_infrastructure_services,2000_cultural_amenities,cadastral,commercial
3,76,3,2,1,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.746591885665612,-74.05757099810216,SUBA,URB. PICADELLY,339000000.0,NaN,300000.0,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,5,4,0,10,2,0,2,13,40,23,0,27,12,0,15,44,168,84,0,110,34,0,58,90,435,225,2,149,86,0,2003025.0,3035999.4
3,63,3,2,0,MAS DE 20 ANOS,APARTAMENTO,VENTA,4.730110594776447,-74.02816994396177,USAQUEN,BARRANCAS PERLAS DEL NORTE,223000000.0,NaN,NaN,,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,2,7,17,9,0,2,8,0,5,13,42,19,0,9,13,0,10,34,151,59,0,14,47,2,37,133,421,225,2,43,142,3,1589880.2222222222,2213160.0
3,54,3,2,0,ENTRE 0 Y 5 ANOS,APARTAMENTO,VENTA,4.607378381953671,-74.08264843007679,LOS MARTIRES,SAN VICTORINO,440898168.0,NaN,305000.0,,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,1,4,27,4,0,0,1,0,2,6,72,10,1,0,2,0,11,23,265,85,5,3,38,4,93,102,737,791,115,37,170,66,1454715.8,1691379.2
2,43,2,2,0,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.740108919910245,-74.11367534607827,SUBA,LA ESTRELLA II,158000000.0,NaN,106600.0,,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,2,1,6,2,0,2,0,0,3,1,9,2,0,7,2,0,8,5,71,8,0,11,21,0,28,38,198,83,0,60,96,1,1105646.0,1727753.0
3,48,3,2,0,MAS DE 20 ANOS,APARTAMENTO,VENTA,4.763900015859,-74.02527996992,USAQUEN,HORIZONTES USAQUEN,222800000.0,NaN,151000.0,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,14,5,0,1,1,0,5,6,37,11,0,3,2,1,12,13,84,27,0,13,10,1,32,18,119,49,0,41,20,1,831238.3333333334,1225436.4444444445
2,47,2,1,0,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.632697639848516,-74.19811074612754,BOSA,S.C. SAN BERNARDINO XVI,128900000.0,NaN,86500.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,4,1,8,0,0,1,1,0,17,3,21,4,0,6,4,0,44,10,56,18,0,20,16,0,993813.625,1462167.0
3,38,2,1,0,ENTRE 5 Y 10 ANOS,APARTAMENTO,VENTA,4.753457674995014,-74.09328837339247,SUBA,PINOS DE LOMBARDIA,190000000.0,NaN,178600.0,,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,1,6,1,0,1,4,0,5,4,13,13,0,2,11,0,16,20,82,62,0,9,47,1,52,47,210,84,0,27,118,1,1592565.4,2362511.0
3,37,2,1,0,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.7595866,-74.1009706,SUBA,URB. CAMINO VERDE,149000000.0,NaN,160000.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,4,4,19,9,0,0,15,0,11,11,44,23,0,4,34,0,30,38,180,75,0,22,91,1,955065.3333333334,1372448.0
4,51,1,2,1,ENTRE 5 Y 10 ANOS,APARTAMENTO,VENTA,4.603247280375196,-74.11873464028827,PUENTE ARANDA,CIUDAD MONTES III SECTOR,350000000.0,NaN,NaN,,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,17,4,0,1,0,0,4,3,48,15,0,4,2,0,14,38,179,83,0,18,23,0,66,128,510,252,1,53,101,4,1282957.0,1775422.5714285714
2,57,2,1,0,ENTRE 10 Y 20 ANOS,CASA CON CONJUNTO CERRADO,VENTA,4.72130166431905,-74.13449815817512,ENGATIVA,EL GACO - EL PORVENIR (PREDIO),190000000.0,NaN,155000.0,,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,6,3,0,0,0,0,1,5,14,13,0,0,1,0,11,11,31,20,0,5,2,0,24,82,341,155,2,32,47,0,1017847.7647058824,1355004.294117647
3,63,4,2,0,ENTRE 10 Y 20 ANOS,CASA CON CONJUNTO CERRADO,VENTA,4.759065276141254,-74.10013165135325,SUBA,URB. CAMINO VERDE,226604237.0,NaN,98000.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,4,4,19,9,0,0,15,0,11,11,44,23,0,4,34,0,30,38,180,75,0,22,91,1,955065.3333333334,1372448.0
4,70,3,2,1,ENTRE 0 Y 5 ANOS,APARTAMENTO,VENTA,4.634183718519668,-74.09213745135507,TEUSAQUILLO,QUINTA PAREDES,480000000.0,NaN,NaN,,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,9,8,7,27,1,5,0,2,15,18,35,42,3,15,1,14,31,63,116,64,9,46,5,48,87,306,416,78,27,148,17,2042240.2857142857,2460888.8571428573
3,73,3,2,1,ENTRE 10 Y 20 ANOS,APARTAMENTO,VENTA,4.758119905496352,-74.03397656905331,USAQUEN,VILLAS DE ANDALUCIA,291750503.0,NaN,50000.0,,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,1,1,0,0,1,10,1,0,4,2,0,18,12,66,37,0,26,12,0,53,64,369,171,1,75,79,1,1556224.5,2209552.5
4,170,4,4,2,MAS DE 20 ANOS,CASA CON CONJUNTO CERRADO,VENTA,4.728894283743585,-74.04309951350079,USAQUEN,LOS CEDRITOS,720000000.0,NaN,500000.0,,0,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,9,8,8,0,2,4,0,3,21,31,24,0,4,13,0,17,57,141,91,1,12,40,0,50,186,612,362,1,68,160,4,2661809.0,3705562.6666666665
5,47,2,1,1,MAS DE 20 ANOS,APARTAMENTO,VENTA,4.6825270652771,-74.0496826171875,CHAPINERO,S.C. CHICO NORTE III SECTOR,381000000.0,NaN,438000.0,,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,6,15,18,1,1,6,0,0,20,33,53,9,2,20,1,10,76,120,203,27,16,92,3,27,216,600,644,55,67,224,12,4285799.166666667,5452833.833333333
3,61,3,2,0,ENTRE 0 Y 5 ANOS,APARTAMENTO,VENTA,4.655312652645029,-74.15489256809185,KENNEDY,S.C. TINTALA,269000000.0,NaN,184000.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,4,1,0,2,0,0,17,17,63,40,2,20,14,0,910792.0,1380485.6666666667
2,126,6,3,1,MAS DE 20 ANOS,CASA,VENTA,4.602708055053951,-74.18061359681437,BOSA,LA ESTACION,490000000.0,NaN,NaN,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,1,0,2,0,0,12,3,25,6,0,5,14,1,48,17,132,31,0,29,45,2,978014.8333333334,1384107.6666666667
5,86,3,2,2,MAS DE 20 ANOS,APARTAMENTO,VENTA,4.720417591164206,-74.04405833146835,USAQUEN,EL CONTADOR,423300000.0,NaN,666700.0,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,8,35,28,0,0,9,1,5,24,65,52,0,3,18,1,13,51,155,113,1,22,31,1,48,165,485,329,5,61,121,2,2573862.375,3185164.875
3,45,4,4,1,MAS DE 20 ANOS,CASA,VENTA,4.714515175960004,-74.12448173217516,ENGATIVA,VILLAS DE GRANADA,450000000.0,NaN,NaN,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9,29,15,0,3,7,0,5,37,148,49,0,10,17,0,15,60,287,118,0,20,37,0,43,138,605,261,2,73,76,1,1490934.8333333333,2016726.3333333333
